TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chrX A7.3|X 36.92 cM	mouse chrX A7.3|X 36.92 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr19 C2|19 32.77 cM	mouse chr19 C2|19 32.77 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr15 B1|15 9.16 cM	mouse chr15 B1|15 9.16 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 A3|9 8.57 cM	mouse chr9 A3|9 8.57 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr17 D|17 29.55 cM	mouse chr17 D|17 29.55 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr10 D3|10 77.93 cM	mouse chr10 D3|10 77.93 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 F4|9 72.94 cM	mouse chr9 F4|9 72.94 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chrX A1.3|X 16.04 cM	mouse chrX A1.3|X 16.04 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr18 B1|18 17.81 cM	mouse chr18 B1|18 17.81 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr17 B1|17 17.5 cM	mouse chr17 B1|17 17.5 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr13 B1|13 28.94 cM	mouse chr13 B1|13 28.94 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 C7|4 50.07 cM	mouse chr4 C7|4 50.07 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr19 A|19 8.67 cM	mouse chr19 A|19 8.67 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr14 E2.1|14 48.25 cM	mouse chr14 E2.1|14 48.25 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr8 E1|8 60.96 cM	mouse chr8 E1|8 60.96 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr16 C1.1|16 33.69 cM	mouse chr16 C1.1|16 33.69 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 B1|5 16.97 cM	mouse chr5 B1|5 16.97 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr13 A3.1|13 7.66 cM	mouse chr13 A3.1|13 7.66 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 D1|6 40.58 cM	mouse chr6 D1|6 40.58 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr16 B2|16 22.51 cM	mouse chr16 B2|16 22.51 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 B|9 29.98 cM	mouse chr9 B|9 29.98 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 E2|4 86.44 cM	mouse chr4 E2|4 86.44 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 G2|6 70.34 cM	mouse chr6 G2|6 70.34 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 C2|2 41.9 cM	mouse chr2 C2|2 41.9 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 A4|11 20.29 cM	mouse chr11 A4|11 20.29 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr15 C- D1|15 21.1 cM	mouse chr15 C- D1|15 21.1 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 F2|7 63.67 cM	mouse chr7 F2|7 63.67 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 G2|5 75.04 cM	mouse chr5 G2|5 75.04 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 G2|5 79.81 cM	mouse chr5 G2|5 79.81 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr14 A2|14 4.33 cM	mouse chr14 A2|14 4.33 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 B5|11 46.02 cM	mouse chr11 B5|11 46.02 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr8 E1|8 63.37 cM	mouse chr8 E1|8 63.37 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr8 D3|8 56.51 cM	mouse chr8 D3|8 56.51 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr15 E1|15 37.79 cM	mouse chr15 E1|15 37.79 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 A3|4 7.82 cM	mouse chr4 A3|4 7.82 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr17 12.33 cM|17 A3.3	mouse chr17 12.33 cM|17 A3.3	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr15 F1|15 52.37 cM	mouse chr15 F1|15 52.37 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr14 D1|14 33.05 cM	mouse chr14 D1|14 33.05 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr16 B1|16 12.92 cM	mouse chr16 B1|16 12.92 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 B2|7 21.13 cM	mouse chr7 B2|7 21.13 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 A1|5 3.87 cM	mouse chr5 A1|5 3.87 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 E1|5 44.1 cM	mouse chr5 E1|5 44.1 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr15 F1|15 52.21 cM	mouse chr15 F1|15 52.21 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 C3.3|5 41.28 cM	mouse chr5 C3.3|5 41.28 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chrX F1|X 57.39 cM	mouse chrX F1|X 57.39 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 A1|4 4.91 cM	mouse chr4 A1|4 4.91 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr15 D3|15 36.24 cM	mouse chr15 D3|15 36.24 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chrX A7.2|X 36.01 cM	mouse chrX A7.2|X 36.01 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 F3|7 69.04 cM	mouse chr7 F3|7 69.04 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 A5.1|9 21.36 cM	mouse chr9 A5.1|9 21.36 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 E3.3|9 50.18 cM	mouse chr9 E3.3|9 50.18 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 F4|9 74.26 cM	mouse chr9 F4|9 74.26 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 B|2 21.31 cM	mouse chr2 B|2 21.31 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr1 H2.2|1 71.25 cM	mouse chr1 H2.2|1 71.25 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr17 A1|17 2.05 cM	mouse chr17 A1|17 2.05 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr15 F1|15 53.79 cM	mouse chr15 F1|15 53.79 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr17 A3.3|17 15.64 cM	mouse chr17 A3.3|17 15.64 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr18 A1|18 3.71 cM	mouse chr18 A1|18 3.71 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr10 A4|10	mouse chr10 A4|10	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr18 A1|18 5.62 cM	mouse chr18 A1|18 5.62 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr1 B|1 19.91 cM	mouse chr1 B|1 19.91 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 G2|5 75.82 cM	mouse chr5 G2|5 75.82 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 C5|4 43.25 cM	mouse chr4 C5|4 43.25 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr8 A4|8 22.78 cM	mouse chr8 A4|8 22.78 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 B1|6 19.1 cM	mouse chr6 B1|6 19.1 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chrX F2|X 65.85 cM	mouse chrX F2|X 65.85 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 B1.3|11 31.14 cM	mouse chr11 B1.3|11 31.14 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 F|5 62.72 cM	mouse chr5 F|5 62.72 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 E2|7 54.5 cM	mouse chr7 E2|7 54.5 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 D1|6 40.8 cM	mouse chr6 D1|6 40.8 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chrX A7.2|X 36.33 cM	mouse chrX A7.2|X 36.33 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 F3|7 70.51 cM	mouse chr7 F3|7 70.51 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr15 E1|15 37.84 cM	mouse chr15 E1|15 37.84 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr16 C4|16 56.93 cM	mouse chr16 C4|16 56.93 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 G1.2|5 65.42 cM	mouse chr5 G1.2|5 65.42 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr15 F1|15 56.56 cM	mouse chr15 F1|15 56.56 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 G2|5 84.76 cM	mouse chr5 G2|5 84.76 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr16 A1|16 2.28 cM	mouse chr16 A1|16 2.28 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 F3|7 69.82 cM	mouse chr7 F3|7 69.82 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 E2|4 78.68 cM	mouse chr4 E2|4 78.68 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 A1|11 3.12 cM	mouse chr11 A1|11 3.12 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr19 B|19 13.21 cM	mouse chr19 B|19 13.21 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 A3|7 15.94 cM	mouse chr7 A3|7 15.94 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr16 B3|16 23.55 cM	mouse chr16 B3|16 23.55 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 E2|4 88.44 cM	mouse chr4 E2|4 88.44 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 A1|7 2.0 cM	mouse chr7 A1|7 2.0 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr3 H3|3 78.62 cM	mouse chr3 H3|3 78.62 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr10 C1|10 44.21 cM	mouse chr10 C1|10 44.21 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 C3.1|5 34.34 cM	mouse chr5 C3.1|5 34.34 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 D|11 65.82 cM	mouse chr11 D|11 65.82 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 B2.3|6 23.61 cM	mouse chr6 B2.3|6 23.61 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 D3|6 44.88 cM	mouse chr6 D3|6 44.88 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr10 D3|10 77.48 cM	mouse chr10 D3|10 77.48 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr10 A4|10 13.03 cM	mouse chr10 A4|10 13.03 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 B1|7 18.61 cM	mouse chr7 B1|7 18.61 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 F5|7 86.81 cM	mouse chr7 F5|7 86.81 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr16 B3|16 25.88 cM	mouse chr16 B3|16 25.88 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 A1|5 3.38 cM	mouse chr5 A1|5 3.38 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 C1.1- C1.2|2 34.81 cM	mouse chr2 C1.1- C1.2|2 34.81 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 45.27 cM|7 D2	mouse chr7 45.27 cM|7 D2	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 C7|4 50.12 cM	mouse chr4 C7|4 50.12 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 F|5 63.03 cM	mouse chr5 F|5 63.03 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 A1|2 1.88 cM	mouse chr2 A1|2 1.88 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr16 A3|16 10.87 cM	mouse chr16 A3|16 10.87 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 D|9 41.93 cM	mouse chr9 D|9 41.93 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr12 A2|12 13.49 cM	mouse chr12 A2|12 13.49 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 F4|7 85.16 cM	mouse chr7 F4|7 85.16 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 C6|4 46.94 cM	mouse chr4 C6|4 46.94 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr17 B1|17 18.76 cM	mouse chr17 B1|17 18.76 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 F1|9 57.56 cM	mouse chr9 F1|9 57.56 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr14 C3|14 28.37 cM	mouse chr14 C3|14 28.37 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr14 A3|14 18.36 cM	mouse chr14 A3|14 18.36 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr8 A1.1|8 6.06 cM	mouse chr8 A1.1|8 6.06 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr10 D3|10 77.75 cM	mouse chr10 D3|10 77.75 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 A1|7 4.33 cM	mouse chr7 A1|7 4.33 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 G2|5 77.19 cM	mouse chr5 G2|5 77.19 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr10 A4|10 17.4 cM	mouse chr10 A4|10 17.4 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 G2|5 76.35 cM	mouse chr5 G2|5 76.35 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 C3.3|5 41.64 cM	mouse chr5 C3.3|5 41.64 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 A3|7 15.08 cM	mouse chr7 A3|7 15.08 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 B3|7 29.54 cM	mouse chr7 B3|7 29.54 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 E2|2 54.25 cM	mouse chr2 E2|2 54.25 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr17 A3.3|17 12.18 cM	mouse chr17 A3.3|17 12.18 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr1 C2- C3|1 32.91 cM	mouse chr1 C2- C3|1 32.91 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr13 A3.1|13 12.3 cM	mouse chr13 A3.1|13 12.3 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chrX A7.3|X 37.45 cM	mouse chrX A7.3|X 37.45 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 B1|4 23.46 cM	mouse chr4 B1|4 23.46 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr16 B4|16 28.37 cM	mouse chr16 B4|16 28.37 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr12 A1.1|12 2.15 cM	mouse chr12 A1.1|12 2.15 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 A2|9 7.17 cM	mouse chr9 A2|9 7.17 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 F4|7 84.39 cM	mouse chr7 F4|7 84.39 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 C1.1|2 33.72 cM	mouse chr2 C1.1|2 33.72 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 B3|5 20.06 cM	mouse chr5 B3|5 20.06 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr18 E1|18 34.78 cM	mouse chr18 E1|18 34.78 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr16 B3|16 22.76 cM	mouse chr16 B3|16 22.76 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr14 26.25 cM|14 C1	mouse chr14 26.25 cM|14 C1	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 C6|4 48.86 cM	mouse chr4 C6|4 48.86 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr12 D1|12 37.28 cM	mouse chr12 D1|12 37.28 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr13 D1|13 51.89 cM	mouse chr13 D1|13 51.89 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 F2|6 58.04 cM	mouse chr6 F2|6 58.04 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 D|2 49.85 cM	mouse chr2 D|2 49.85 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr19 B|19 19.0 cM	mouse chr19 B|19 19.0 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 E3|6 52.27 cM	mouse chr6 E3|6 52.27 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 E1|11 70.0 cM	mouse chr11 E1|11 70.0 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 A1|11 3.95 cM	mouse chr11 A1|11 3.95 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 A5|4 21.81 cM	mouse chr4 A5|4 21.81 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 F1|9 56.28 cM	mouse chr9 F1|9 56.28 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr3 F1|3 38.22 cM	mouse chr3 F1|3 38.22 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 A4|9 12.0 cM	mouse chr9 A4|9 12.0 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr14 A3|14 18.4 cM	mouse chr14 A3|14 18.4 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chrX A1.1|X 1.55 cM	mouse chrX A1.1|X 1.55 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr8 E1|8 58.29 cM	mouse chr8 E1|8 58.29 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 F3|6 62.9 cM	mouse chr6 F3|6 62.9 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr15 F1|15 52.77 cM	mouse chr15 F1|15 52.77 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chrX A7.3|X 37.14 cM	mouse chrX A7.3|X 37.14 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 A3|9 7.39 cM	mouse chr9 A3|9 7.39 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr14 C3|14 28.06 cM	mouse chr14 C3|14 28.06 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr17 D|17 28.98 cM	mouse chr17 D|17 28.98 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr1 G3|1 65.26 cM	mouse chr1 G3|1 65.26 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr13 B2|13 31.92 cM	mouse chr13 B2|13 31.92 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr19 A|19 8.59 cM	mouse chr19 A|19 8.59 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 A3.1|6 11.18 cM	mouse chr6 A3.1|6 11.18 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 E1|11 70.8 cM	mouse chr11 E1|11 70.8 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr3 A2|3 5.75 cM	mouse chr3 A2|3 5.75 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 D3|4 74.69 cM	mouse chr4 D3|4 74.69 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 D1|6 40.05 cM	mouse chr6 D1|6 40.05 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr8 A2|8 14.38 cM	mouse chr8 A2|8 14.38 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 A1|7 2.98 cM	mouse chr7 A1|7 2.98 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr12 D1|12 39.17 cM	mouse chr12 D1|12 39.17 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chrX A3.1|X 19.89 cM	mouse chrX A3.1|X 19.89 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr8 B2|8 29.68 cM	mouse chr8 B2|8 29.68 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr15 E1|15 37.52 cM	mouse chr15 E1|15 37.52 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 E3.3|9 51.91 cM	mouse chr9 E3.3|9 51.91 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 B3|11 42.53 cM	mouse chr11 B3|11 42.53 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 B1|7 18.72 cM	mouse chr7 B1|7 18.72 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr15 D3|15 32.31 cM	mouse chr15 D3|15 32.31 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr1 E4|1 59.28 cM	mouse chr1 E4|1 59.28 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr5 C3.1|5 35.73 cM	mouse chr5 C3.1|5 35.73 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr16 B1|16 13.66 cM	mouse chr16 B1|16 13.66 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 A3|4 9.2 cM	mouse chr4 A3|4 9.2 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 C6|4 47.79 cM	mouse chr4 C6|4 47.79 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 E1|4 77.81 cM	mouse chr4 E1|4 77.81 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 A5|4 20.83 cM	mouse chr4 A5|4 20.83 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 H4|2 98.04 cM	mouse chr2 H4|2 98.04 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 C|9 35.06 cM	mouse chr9 C|9 35.06 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr1 E4|1 57.09 cM	mouse chr1 E4|1 57.09 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 E1|9	mouse chr9 E1|9	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr7 E1|7 54.01 cM	mouse chr7 E1|7 54.01 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr17 A3.3|17 12.62 cM	mouse chr17 A3.3|17 12.62 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr16 B4|16 29.17 cM	mouse chr16 B4|16 29.17 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr6 B2.2- B2.3|6 21.81 cM	mouse chr6 B2.2- B2.3|6 21.81 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 D3|4 69.99 cM	mouse chr4 D3|4 69.99 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr11 B1.2|11 28.87 cM	mouse chr11 B1.2|11 28.87 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr4 D1|4 53.37 cM	mouse chr4 D1|4 53.37 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chrX C3|X 42.82 cM	mouse chrX C3|X 42.82 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr9 B|9 31.04 cM	mouse chr9 B|9 31.04 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
mouse chr2 A3|2 17.13 cM	mouse chr2 A3|2 17.13 cM	0.999999999976319	-2.36812930376473e-11	1	0	0	1868	24140
